variant,source,f_revised,progress,comment
tulsi,tulsi,taste profile / spice,todo,
beans,beans,raw_agricultural_material,todo,
besan,chickpea,raw_agricultural_material,todo,
chana,chickpea,raw_agricultural_material,todo,
clove,clove,taste profile / spice,todo,
cocoa,cocoa,taste profile / spice,todo,
cumin,cumin,taste profile / spice,todo,
jeera,cumin,taste profile / spice,todo,
moong,mung bean,raw_agricultural_material,todo,
guava,guava,raw_agricultural_material,todo,
honey,honey,sweetener,todo,
leeks,leek,raw_agricultural_material,todo,
lemon,lemon,flavouring agent,todo,
dairy,milk,raw_agricultural_material,done,"duplicate of row 61"
salts,mineral,raw_agricultural_material,todo,
onion,onion,raw_agricultural_material,todo,
sooji,wheat,raw_agricultural_material,todo,
wheat,wheat,raw_agricultural_material,done,"duplicate of row 71"
supar,areca nut,taste profile / spice,todo,
thyme,thyme,taste profile / spice,todo,
water,water,raw_agricultural_material,todo,
brine,mineral,raw_agricultural_material,todo,
l-hpc,synthetic,fortification_agent,todo,
lupin,lupin,raw_agricultural_material,todo,
musli,safed musli,raw_agricultural_material,todo,
oxide,mineral,raw_agricultural_material,todo,
pipal,long pepper,taste profile / spice,todo,
spelt,spelt,raw_agricultural_material,todo,
carrot,carrot,raw_agricultural_material,todo,
turnip,turnip,raw_agricultural_material,todo,
cashew,cashew,raw_agricultural_material,todo,
garlic,garlic,taste profile / spice,todo,
ginger,ginger,taste profile / spice,todo,
sunthi,ginger,taste profile / spice,todo,
amchur,mango,taste profile / spice,todo,
millet,millet,raw_agricultural_material,todo,
quinoa,quinoa,raw_agricultural_material,todo,
saamai,little millet,raw_agricultural_material,todo,
nachni,finger millet,raw_agricultural_material,todo,
fudina,mint,taste profile / spice,todo,
raisin,grape,sweetener,todo,
sesame,sesame,raw_agricultural_material,todo,
soynut,soybean,raw_agricultural_material,todo,
stevia,stevia,sweetener,todo,
sugars,sugarcane,sweetener,todo,
zucker,sugarcane,sweetener,todo,
mishri,sugarcane,sweetener,todo,
waffle,wheat,raw_agricultural_material,todo,
almond,almond,raw_agricultural_material,todo,
citric,synthetic | corn,acidity regulator,todo,
dhania,coriander,taste profile / spice,todo,
safron,saffron,colour,todo,
fennel,fennel,taste profile / spice,todo,
ajwain,carom,taste profile / spice,todo,
ajowan,ajowan,taste profile / spice,todo,
coffee,coffee,flavouring agent,todo,
banana,banana,raw_agricultural_material,todo,
barley,barley,raw_agricultural_material,todo,
biotin,synthetic,fortification_agent,todo,
pepper,pepper,taste profile / spice,todo,
brahmi,brahmi,flavouring agent,todo,
butter,milk,lipid base,todo,
celery,celery,taste profile / spice,todo,
cheese,milk,processed_ingredient,todo,
paneer,milk,processed_ingredient,todo,
cheese,milk,processed_ingredient,done,"duplicate of row 140"
chilli,chilli,taste profile / spice,todo,
chilli,chilli,taste profile / spice,done,"duplicate of row 143"
cloves,cloves,taste profile / spice,todo,
khobra,coconut,raw_agricultural_material,todo,
yogurt,milk,processed_ingredient,todo,
iodate,mineral,fortification_agent,todo,
lentil,lentil,raw_agricultural_material,todo,
masoor,lentil,raw_agricultural_material,todo,
casein,milk,processed_ingredient,todo,
niacin,synthetic,fortification_agent,todo,
nutmeg,nutmeg,taste profile / spice,todo,
onions,onion,taste profile / spice,todo,
tomate,tomato,raw_agricultural_material,todo,
pepper,pepper,taste profile / spice,done,"duplicate of row 136"
potato,potato,raw_agricultural_material,todo,
quinoa,quinoa,raw_agricultural_material,done,"duplicate of row 113"
radish,radish,raw_agricultural_material,todo,
tomato,tomato,raw_agricultural_material,todo,
anjeer,fig,raw_agricultural_material,todo,
valine,synthetic,fortification_agent,todo,
chakka,jackfruit,raw_agricultural_material,todo,
chhena,milk,processed_ingredient,todo,
chikoo,sapodilla,raw_agricultural_material,todo,
chikoo,sapodilla,raw_agricultural_material,done,"duplicate of row 165"
chirva,rice,raw_agricultural_material,todo,
chives,chives,taste profile / spice,todo,
chives,chives,taste profile / spice,done,"duplicate of row 168"
citron,citron,flavouring agent,todo,
gluten,wheat,processed_ingredient,todo,
lutein,marigold,colour,todo,
lysine,synthetic,fortification_agent,todo,
pecans,pecan,raw_agricultural_material,todo,
pomelo,pomelo,flavouring agent,todo,
yogurt,milk,processed_ingredient,done,"duplicate of row 147"
alm oil,palm,lipid base,todo,
sal fat,sal,lipid base,todo,
carrots,carrot,raw_agricultural_material,todo,
cashews,cashew,raw_agricultural_material,todo,
com oil,corn,lipid base,todo,
mangoes,mango,raw_agricultural_material,todo,
amchoor,mango,taste profile / spice,todo,
millets,millet,raw_agricultural_material,todo,
menthol,mint,flavouring agent,todo,
paprika,paprika,colour,todo,
raisins,grape,sweetener,todo,
til oil,sesame,lipid base,todo,
soynuts,soybean,raw_agricultural_material,todo,
sucrose,sugarcane,sweetener,todo,
jaggery,sugarcane | palm,sweetener,todo,
glucose,corn | tapioca,sweetener,todo,
vinegar,sugarcane,flavouring agent,todo,
almonds,almond,raw_agricultural_material,todo,
mandeln,almond,raw_agricultural_material,todo,
tumeric,turmeric,taste profile / spice,todo,
saffron,saffron,taste profile / spice,todo,
om seed,ajwain,taste profile / spice,todo,
aniseed,anise,taste profile / spice,todo,
apricot,apricot,raw_agricultural_material,todo,
maricha,pepper,taste profile / spice,todo,
milkfat,milk,lipid base,todo,
cow fat,beef,lipid base,todo,
cabbage,cabbage,raw_agricultural_material,todo,
chicory,chicory,taste profile / spice,todo,
coconut,coconut,raw_agricultural_material,todo,
cow fat,beef,lipid base,done,"duplicate of row 203"
yoghurt,milk,processed_ingredient,todo,
dextrin,corn | tapioca,thickener,todo,
ins 631,tapioca | sugarcane,flavouring agent,todo,
amylase,aspergillus oryzae | barley,flour treatment agent,todo,
beeswax,beeswax,thickener,todo,
kalonji,nigella seed,taste profile / spice,todo,
lactose,milk,sweetener,todo,
lentils,lentil,raw_agricultural_material,todo,
mulethi,licorice,taste profile / spice,todo,
pippali,long pepper,taste profile / spice,todo,
menthol,mint,taste profile / spice,done,"duplicate of row 185"
moringa,moringa,raw_agricultural_material,todo,
shitake,mushroom,raw_agricultural_material,todo,
shitaki,mushroom,raw_agricultural_material,todo,
mustard,mustard,taste profile / spice,todo,
shallot,shallot,taste profile / spice,todo,
oregano,oregano,taste profile / spice,todo,
parsley,parsley,taste profile / spice,todo,
soybean,soybean,raw_agricultural_material,todo,
spinach,spinach,raw_agricultural_material,todo,
anistar,star anise,taste profile / spice,todo,
tapioca,tapioca,raw_agricultural_material,todo,
taurine,synthetic,fortification_agent,todo,
thiamin,synthetic,fortification_agent,todo,
trifala,amla | haritaki | bibhitaki,NULL,todo,
vannila,vanilla,flavouring agent,todo,
vit. d2,yeast,NULL,todo,
alcohol,sugarcane | molasses,NULL,todo,
ammonia,synthetic,acidity regulator,todo,
lactase,yeast,flour treatment agent,todo,
leucine,synthetic,fortification_agent,todo,
catechu,acacia catechu,taste profile / spice,todo,
cucumis,cucumber,raw_agricultural_material,todo,
isabgol,psyllium,thickener,todo,
fox nut,fox nut,raw_agricultural_material,todo,
foxnuts,fox nut,raw_agricultural_material,todo,
gongura,gongura,raw_agricultural_material,todo,
isomalt,sugarcane,sweetener,todo,
pumpkin,pumpkin,raw_agricultural_material,todo,
nannari,sarsaparilla,flavouring agent,todo,
ins 941,synthetic,propellant,todo,
ins 999,quillaja saponaria,emulsifier,todo,
xylitol,birch,sweetener,todo,
yoghurt,milk,processed_ingredient,done,"duplicate of row 208"
palm oil,palm,lipid base,todo,
paim oil,palm,lipid base,todo,
palm fat,palm,lipid base,todo,
sea salt,mineral,raw_agricultural_material,todo,
yellow 6,synthetic,colour,todo,
corn oil,corn,lipid base,todo,
costarch,corn,thickener,todo,
hazelnut,hazelnut,raw_agricultural_material,todo,
milk snf,milk,processed_ingredient,todo,
soy nuts,soybean,raw_agricultural_material,todo,
soyabean,soybean,raw_agricultural_material,todo,
soybeans,soybean,raw_agricultural_material,todo,
sharkara,sugarcane,sweetener,todo,
dextrose,corn | tapioca,sweetener,todo,
fructose,corn,sweetener,todo,
levulose,corn,sweetener,todo,
urad dal,urad dal,raw_agricultural_material,todo,
turmeric,turmeric,taste profile / spice,todo,
maltitol,corn | wheat,sweetener|bulking agent,todo,
cow milk,milk,raw_agricultural_material,done,
raw milk,milk,raw_agricultural_material,done,
cultures,lactobacillus | streptococcus,fermentation_agent,todo,
allspice,allspice,taste profile / spice,todo,
bay leaf,bay laurel,taste profile / spice,todo,
gram dal,chickpea,raw_agricultural_material,todo,
d-biotin,synthetic,fortification_agent,todo,
thippili,thippili,taste profile / spice,todo,
milk fat,milk,lipid base,todo,
chillies,chilli,taste profile / spice,todo,
cinnamon,cinnamon,taste profile / spice,todo,
cinnamom,cinnamon,taste profile / spice,todo,
cow milk,milk,raw_agricultural_material,done,"duplicate of row 271"
cake gel,palm | soybean | sunflower,emulsifier|stabiliser,todo,
glycerin,palm | soybean | rapeseed,humectant,todo,
cardamom,cardamom,taste profile / spice,todo,
moongdal,mung bean,raw_agricultural_material,todo,
guar gum,guar,thickener,todo,
hibiscus,hibiscus,colour,todo,
inositol,corn,NULL,todo,
lecithin,soybean | sunflower,emulsifier,todo,
lycopene,tomato,colour,todo,
molasses,sugarcane,sweetener,todo,
navsadar,synthetic,raising agent,todo,
toor dal,pigeon pea,raw_agricultural_material,todo,
potatoes,potato,raw_agricultural_material,todo,
rosemary,rosemary,taste profile / spice,todo,
semolina,wheat,raw_agricultural_material,todo,
sesbania,sesbania,raw_agricultural_material,todo,
ins 420i,sorbitol,crystalline chemical,todo,
sulphite,mineral,preservative,todo,
tamarind,tamarind,flavouring agent,todo,
tartaric,grape,acidity regulator,todo,
tomatoes,tomato,raw_agricultural_material,todo,
vanillin,synthetic,flavouring agent,todo,
ro water,water,raw_agricultural_material,todo,
arginine,sugarcane,fortification_agent,todo,
betelnut,areca palm,taste profile / spice,todo,
cherries,cherry,raw_agricultural_material,todo,
chloride,mineral,NULL,todo,
digezyme,aspergillus oryzae,NULL,todo,
protease,aspergillus oryzae | bacillus subtilis,flour treatment agent,todo,
fox nuts,fox nut,raw_agricultural_material,todo,
gum base,chicle,raw_agricultural_material,todo,
haritaki,haritaki,taste profile / spice,todo,
jalapeno,jalapeno,taste profile / spice,todo,
khorasan,khorasan wheat,raw_agricultural_material,todo,
l-lysine,sugarcane,fortification_agent,todo,
mulberry,mulberry,raw_agricultural_material,todo,
nitrogen,synthetic,propellant,todo,
vallarai,brahmi,taste profile / spice,todo,
xylanase,aspergillus niger,flour treatment agent,todo,
palmolein,palm,lipid base,todo,
palmolien,palm,lipid base,todo,
vanaspati,palm | soybean | groundnut,lipid base,todo,
kalanamak,mineral,raw_agricultural_material,todo,
rock salt,mineral,raw_agricultural_material,todo,
cornflour,corn,processed_ingredient,todo,
hazelnuts,hazelnut,raw_agricultural_material,todo,
magnesium,mineral,raw_agricultural_material,todo,
dry mango,mango,raw_agricultural_material,todo,
raw mango,mango,raw_agricultural_material,todo,
mint oils,mint,flavouring agent,todo,
pistachio,pistachio,raw_agricultural_material,todo,
soya grit,soybean,raw_agricultural_material,todo,
soyabeans,soybean,raw_agricultural_material,todo,
soya four,soybean,raw_agricultural_material,todo,
khandsari,sugarcane,sweetener,todo,
sugarcane,sugarcane,raw_agricultural_material,todo,
d-glucose,corn | tapioca,sweetener,todo,
urid dhal,urad dal,raw_agricultural_material,todo,
orid dhal,urad dal,raw_agricultural_material,todo,
vitamin a,synthetic | fish liver oil,fortification_agent,todo,
flax seed,flax,raw_agricultural_material,todo,
oat flour,oat,raw_agricultural_material,todo,
asafetida,asafoetida,taste profile / spice,todo,
fenugreek,fenugreek,taste profile / spice,todo,
coriander,coriander,taste profile / spice,todo,
green pea,pea,raw_agricultural_material,todo,
skim milk,milk,raw_agricultural_material,todo,
algal oil,algae,lipid base,todo,
aspartame,synthetic,sweetener,todo,
bael pulp,bael,raw_agricultural_material,todo,
bayleaves,bay laurel,taste profile / spice,todo,
chana dal,chickpea,raw_agricultural_material,todo,
gram dhal,chickpea,raw_agricultural_material,todo,
gram meal,chickpea,raw_agricultural_material,todo,
bhringraj,bhringraj,taste profile / spice,todo,
black tea,tea,flavouring agent,todo,
butterfat,milk,lipid base,todo,
chickpeas,chickpea,raw_agricultural_material,todo,
red chili,chilli,taste profile / spice,todo,
clove bud,clove,taste profile / spice,todo,
cranberry,cranberry,raw_agricultural_material,todo,
vegan dha,algae,lipid base,todo,
egg white,egg,processed_ingredient,todo,
desi ghee,milk,lipid base,todo,
glycerine,palm | soybean | rapeseed,humectant,todo,
red grape,grape,raw_agricultural_material,todo,
moong dal,mung bean,raw_agricultural_material,todo,
green tea,tea,flavouring agent,todo,
ice cream,milk,processed_ingredient,done,
dew beans,moth bean,raw_agricultural_material,todo,
naushadar,synthetic,raising agent,todo,
tree nuts,almond | cashew | walnut | pistachio,raw_agricultural_material,todo,
olive oil,olive,lipid base,todo,
toor dhal,pigeon pea,raw_agricultural_material,todo,
pineapple,pineapple,raw_agricultural_material,todo,
plum pulp,plum,raw_agricultural_material,todo,
potassium,mineral,raw_agricultural_material,todo,
rice meal,rice,raw_agricultural_material,todo,
rice rava,rice,raw_agricultural_material,todo,
rice flex,rice,raw_agricultural_material,todo,
idli rava,rice,raw_agricultural_material,todo,
staranise,star anise,taste profile / spice,todo,
sucralose,synthetic,sweetener,todo,
sulphites,mineral,preservative,todo,
vitamin d,lanolin | fish liver oil | synthetic,fortification_agent,todo,
dried fig,fig,raw_agricultural_material,todo,
ash gourd,ash gourd,raw_agricultural_material,todo,
bibhitaki,bibhitaki,raw_agricultural_material,todo,
buckwheat,buckwheat,raw_agricultural_material,todo,
catechins,tea,antioxidant,todo,
chlorella,chlorella,processed_ingredient,todo,
dry fruit,grape | date | fig | almond | cashew | pistachio,raw_agricultural_material,todo,
proteases,aspergillus oryzae | bacillus subtilis,fermentation_agent,todo,
glutamine,sugarcane,fortification_agent,todo,
goat meat,goat,raw_agricultural_material,todo,
horsegram,horsegram,raw_agricultural_material,todo,
idli rava,rice,raw_agricultural_material,done,"duplicate of row 384"
jackfruit,jackfruit,raw_agricultural_material,todo,
jalapenos,jalapeno,taste profile / spice,todo,
margarine,palm | soybean | sunflower,lipid base,todo,
spirulina,spirulina,processed_ingredient,todo,
threonine,synthetic,fortification_agent,todo,
palm olein,palm,lipid base,todo,
edible oil,palm | soybean | sunflower | groundnut,lipid base,todo,
black salt,mineral,taste profile / spice,todo,
cashew nut,cashew,raw_agricultural_material,todo,
riboflavin,synthetic | corn,fortification_agent,todo,
vitamin b2,synthetic | corn,fortification_agent,todo,
milk cream,milk,lipid base,todo,
sour cream,milk,processed_ingredient,todo,
date paste,date,sweetener,todo,
date syrup,date,sweetener,todo,
folic acid,synthetic,fortification_agent,todo,
dry ginger,ginger,taste profile / spice,todo,
corn syrup,corn,sweetener,todo,
l-camitine,synthetic,fortification_agent,todo,
wheatflour,wheat,raw_agricultural_material,todo,
mango bits,mango,sweetener,todo,
mango pulp,mango,raw_agricultural_material,todo,
smp powder,milk,processed_ingredient,todo,
milk solid,milk,processed_ingredient,todo,
milksolids,milk,processed_ingredient,done,
ragi flour,finger millet,raw_agricultural_material,todo,
dried mint,mint,taste profile / spice,todo,
dry pudina,mint,taste profile / spice,todo,
mint puree,mint,taste profile / spice,todo,
peppermint,peppermint,taste profile / spice,todo,
pistachios,pistachio,raw_agricultural_material,todo,
white till,sesame,raw_agricultural_material,todo,
sesame oil,sesame,lipid base,todo,
soy flakes,soybean,raw_agricultural_material,todo,
soya seeds,soybean,raw_agricultural_material,todo,
soya flour,soybean,raw_agricultural_material,todo,
strawberry,strawberry,raw_agricultural_material,todo,
cane sugar,sugarcane,sweetener,todo,
palm sugar,palm,sweetener,todo,
desi khand,sugarcane,sweetener,todo,
black gram,black gram,raw_agricultural_material,todo,
vitamins a,synthetic,fortification_agent,todo,
wafer cone,wheat,raw_agricultural_material,todo,
m.p. wheat,wheat,raw_agricultural_material,todo,
wheat bran,wheat,processed_ingredient,todo,
zinc oxide,mineral,anticaking agent,todo,
flax seeds,flax,raw_agricultural_material,todo,
badam bits,almond,raw_agricultural_material,todo,
oats flour,oats,raw_agricultural_material,todo,
curry leaf,curry leaf,taste profile / spice,todo,
asafoetida,asafoetida,taste profile / spice,todo,
ennel seed,fennel,taste profile / spice,todo,
green peas,green pea,raw_agricultural_material,todo,
toned milk,milk,raw_agricultural_material,todo,
sweet whey,milk,processed_ingredient,todo,
a2 protein,milk,processed_ingredient,todo,
rama tulsi,tulsi,flavouring agent,todo,
vana tulsi,tulsi,flavouring agent,todo,
bay leaves,bay laurel,taste profile / spice,todo,
gram flour,chickpea,raw_agricultural_material,todo,
split gram,chickpea,raw_agricultural_material,todo,
gram grits,chickpea,raw_agricultural_material,todo,
gram pulse,chickpea,raw_agricultural_material,todo,
whole gram,chickpea,raw_agricultural_material,todo,
black rice,black rice,raw_agricultural_material,todo,
brown rice,brown rice,raw_agricultural_material,todo,
chia seeds,chia,raw_agricultural_material,todo,
chick peas,chickpea,raw_agricultural_material,todo,
red chilli,chilli,taste profile / spice,todo,
red chilly,chilli,taste profile / spice,todo,
cocoa mass,cocoa,processed_ingredient,todo,
cocoa nibs,cocoa,raw_agricultural_material,todo,
cumin seed,cumin,taste profile / spice,todo,
edible gum,acacia,thickener,todo,
gum arabic,acacia,thickener,todo,
gum acacia,acacia,thickener,todo,
acacia gum,acacia,thickener,todo,
emulsifier,palm | soybean | sunflower,emulsifier,todo,
emulsfying,palm | soybean | sunflower,emulsifier,todo,
emuslifier,palm | soybean | sunflower,emulsifier,todo,
sodium img,synthetic,fortification_agent,todo,
grape pulp,grape,raw_agricultural_material,todo,
green gram,mung bean,raw_agricultural_material,todo,
mung beans,mung bean,raw_agricultural_material,todo,
moong bean,mung bean,raw_agricultural_material,todo,
guava pulp,guava,raw_agricultural_material,todo,
jamun pulp,java plum,raw_agricultural_material,todo,
papad khar,synthetic,raising agent,todo,
lime juice,lime,flavouring agent,todo,
malic acid,apple,acidity regulator,todo,
monk fruit,monk fruit,sweetener,todo,
moth flour,moth bean,raw_agricultural_material,todo,
niger seed,niger,raw_agricultural_material,todo,
nut pieces,almond | cashew | pistachio | walnut,raw_agricultural_material,todo,
nuts paste,almond | cashew | pistachio | walnut,raw_agricultural_material,todo,
palm sugar,palm,sweetener,done,"duplicate of row 439"
peach pulp,peach,raw_agricultural_material,todo,
pigeon pea,pigeon pea,raw_agricultural_material,todo,
poppy seed,poppy,raw_agricultural_material,todo,
vitamin b6,synthetic,fortification_agent,todo,
rice flour,rice,raw_agricultural_material,todo,
rice grits,rice,raw_agricultural_material,todo,
brown rice,brown rice,raw_agricultural_material,done,"duplicate of row 466"
black rice,black rice,raw_agricultural_material,done,"duplicate of row 465"
white poha,rice,raw_agricultural_material,todo,
rice floor,rice,raw_agricultural_material,todo,
nylon poha,rice,raw_agricultural_material,todo,
rose petal,rose,flavouring agent,todo,
rose water,rose,flavouring agent,todo,
bansi rawa,wheat,raw_agricultural_material,todo,
idly ravva,rice,raw_agricultural_material,todo,
soya sauce,soybean,flavouring agent,todo,
star anise,star anise,taste profile / spice,todo,
tea leaves,tea,flavouring agent,todo,
vitamins d,synthetic,fortification_agent,todo,
vitamin d2,synthetic,fortification_agent,todo,
vitamin d3,synthetic,fortification_agent,todo,
watermelon,watermelon,raw_agricultural_material,todo,
aavarampoo,aavarampoo,NULL,todo,
l-arginine,synthetic,fortification_agent,todo,
barramundi,barramundi,raw_agricultural_material,todo,
cloudifier,palm | soybean | sunflower,emulsifier,todo,
sandalwood,sandalwood,taste profile / spice,todo,
methionine,synthetic,fortification_agent,todo,
eucalyptol,eucalyptus,flavouring agent,todo,
gellan gum,synthetic,gelling agent|stabiliser|thickener,todo,
goji berry,goji berry,antioxidant,todo,
idly ravva,rice,raw_agricultural_material,done,"duplicate of row 511"
l-theanine,tea,NULL,todo,
mayonnaise,soybean | sunflower | egg,emulsifier,todo,
mct powder,coconut | palm kernel,lipid base,todo,
molybdenum,mineral,NULL,todo,
phosphorus,mineral,NULL,todo,
wheatgrass,wheatgrass,raw_agricultural_material,todo,
red salmon,salmon,raw_agricultural_material,todo,
palm kernel,palm,lipid base,todo,
shea butter,shea,lipid base,todo,
refined oil,palm | soybean | sunflower | groundnut,lipid base,todo,
common salt,mineral,raw_agricultural_material,todo,
edible salt,mineral,raw_agricultural_material,todo,
sodium salt,mineral,raw_agricultural_material,todo,
batter salt,mineral,raw_agricultural_material,todo,
loaded salt,mineral,raw_agricultural_material,todo,
smoked salt,mineral,taste profile / spice,todo,
carrot bits,carrot,raw_agricultural_material,todo,
cashew nuts,cashew,raw_agricultural_material,todo,
red 40 lake,synthetic,colour,todo,
blue 1 lake,synthetic,colour,todo,
blue 2 lake,synthetic,colour,todo,
corn starch,corn,processed_ingredient,todo,
date powder,date,sweetener,todo,
l-carnitine,synthetic,fortification_agent,todo,
wheat flour,wheat,raw_agricultural_material,todo,
mango puree,mango,raw_agricultural_material,todo,
dried mango,mango,raw_agricultural_material,todo,
mango juice,mango,sweetener,todo,
milk powder,milk,processed_ingredient,todo,
milk solids,milk,processed_ingredient,done,
kodo millet,kodo millet,raw_agricultural_material,todo,
bajra flour,pearl millet,raw_agricultural_material,todo,
mint leaves,mint,taste profile / spice,todo,
sesame seed,sesame,lipid base,todo,
soya flakes,soybean,raw_agricultural_material,todo,
soybean oil,soybean,lipid base,todo,
added sugar,sugarcane,sweetener,todo,
brown sugar,sugarcane,sweetener,todo,
sugar syrup,sugarcane,sweetener,todo,
white sugar,sugarcane,sweetener,todo,
wheat cream,wheat,raw_agricultural_material,todo,
rolled oats,oats,raw_agricultural_material,todo,
baking soda,synthetic,raising agent,todo,
citric acid,synthetic | corn,acidity regulator,todo,
xanthan gum,synthetic,thickener|stabiliser,todo,
orange pulp,orange,raw_agricultural_material,todo,
glazed peel,citrus,sweetener,todo,
citrus pulp,citrus,raw_agricultural_material,todo,
fennel seed,fennel,taste profile / spice,todo,
dried yeast,yeast,raising agent,todo,
whey powder,milk,processed_ingredient,todo,
acetic acid,synthetic,acidity regulator,todo,
carom seeds,carom,taste profile / spice,todo,
bishop seed,carom,taste profile / spice,todo,
apple juice,apple,flavouring agent,todo,
green apple,apple,raw_agricultural_material,todo,
ashwagandha,ashwagandha,raw_agricultural_material,todo,
banana pulp,banana,raw_agricultural_material,todo,
cassia leaf,cassia,taste profile / spice,todo,
french bean,french bean,raw_agricultural_material,todo,
bengal gram,chickpea,raw_agricultural_material,todo,
split grams,chickpea,raw_agricultural_material,todo,
gram pulses,chickpea,raw_agricultural_material,todo,
black cumin,black cumin,taste profile / spice,todo,
blueberries,blueberry,raw_agricultural_material,todo,
buffalo fat,buffalo milk,lipid base,todo,
chicken fat,chicken,lipid base,todo,
green chili,chili,taste profile / spice,todo,
coco powder,cocoa,processed_ingredient,todo,
coconut fat,coconut,lipid base,todo,
coconut oil,coconut,lipid base,todo,
cranberries,cranberry,raw_agricultural_material,todo,
cumin seeds,cumin,taste profile / spice,todo,
cumin whole,cumin,taste profile / spice,todo,
jeera seeds,cumin,taste profile / spice,todo,
gum arabica,acacia tree,thickener|stabiliser,todo,
emulsifiers,palm | soybean | sunflower,emulsifier,todo,
grape juice,grape,flavouring agent,todo,
green apple,apple,raw_agricultural_material,done,"duplicate of row 584"
moong beans,mung bean,raw_agricultural_material,todo,
guava juice,guava,flavouring agent,todo,
guava puree,guava,raw_agricultural_material,todo,
lemon juice,lemon,flavouring agent,todo,
red lentils,lentil,raw_agricultural_material,todo,
litchi pulp,litchi,raw_agricultural_material,todo,
long pepper,long pepper,taste profile / spice,todo,
lotus seeds,lotus,raw_agricultural_material,todo,
mace powder,mace,taste profile / spice,todo,
mustard oil,mustard seed,lipid base,todo,
nucleotides,yeast,flavouring agent,todo,
fried onion,onion,taste profile / spice,todo,
white onion,onion,raw_agricultural_material,todo,
pantothenol,synthetic,NULL,todo,
papaya pulp,papaya,raw_agricultural_material,todo,
pea protein,pea,processed_ingredient,todo,
peach juice,peach,flavouring agent,todo,
pomegranate,pomegranate,raw_agricultural_material,todo,
potato flex,potato,raw_agricultural_material,todo,
raspberries,raspberry,raw_agricultural_material,todo,
resveratrol,grape,antioxidant,todo,
rice powder,rice,raw_agricultural_material,todo,
rice flakes,rice,raw_agricultural_material,todo,
puffed rice,rice,raw_agricultural_material,todo,
sago powder,sago,processed_ingredient,todo,
instant tea,tea,flavouring agent,todo,
vitamin b12,synthetic,fortification_agent,todo,
amino acids,synthetic,fortification_agent,todo,
edible bran,rice | wheat | oat,processed_ingredient,todo,
citharathai,citharathai,taste profile / spice,todo,
